ActivityHour,Id,StepTotal
3/12/2016 10:00:00 AM,99990001,45.102135099152285
3/12/2016 10:00:00 PM,99990001,70.17716434727943
3/12/2016 11:00:00 AM,99990001,147.92720199259918
3/12/2016 11:00:00 PM,99990001,104.70366411739752
3/12/2016 12:00:00 AM,99990001,82.64716016049324
3/12/2016 12:00:00 PM,99990001,153.92834770198263
3/12/2016 1:00:00 AM,99990001,109.04736892454918
3/12/2016 1:00:00 PM,99990001,110.34816483285094
3/12/2016 2:00:00 AM,99990001,133.1530690170804
3/12/2016 2:00:00 PM,99990001,112.84245313420656
3/12/2016 3:00:00 AM,99990001,88.9185822753168
3/12/2016 3:00:00 PM,99990001,59.07888445937079
3/12/2016 4:00:00 AM,99990001,77.30332700307271
3/12/2016 4:00:00 PM,99990001,107.31358203861193
3/12/2016 5:00:00 AM,99990001,69.71582535651854
3/12/2016 5:00:00 PM,99990001,67.72994209349862
3/12/2016 6:00:00 AM,99990001,335.67957790742076
3/12/2016 6:00:00 PM,99990001,421.6295792821991
3/12/2016 7:00:00 AM,99990001,351.49591413023785
3/12/2016 7:00:00 PM,99990001,439.25384321731633
3/12/2016 8:00:00 AM,99990001,382.2012413682675
3/12/2016 8:00:00 PM,99990001,58.66267065378837
3/12/2016 9:00:00 AM,99990001,170.90697818445662
3/12/2016 9:00:00 PM,99990001,47.213587079822744
3/13/2016 10:00:00 AM,99990001,84.80153815117268
3/13/2016 10:00:00 PM,99990001,78.46127158682177
3/13/2016 11:00:00 AM,99990001,112.13255654534622
3/13/2016 11:00:00 PM,99990001,133.79713623612724
3/13/2016 12:00:00 AM,99990001,124.8594247418006
3/13/2016 12:00:00 PM,99990001,217.69472748291543
3/13/2016 1:00:00 AM,99990001,83.88168336812093
3/13/2016 1:00:00 PM,99990001,323.7737160933716
3/13/2016 2:00:00 AM,99990001,0.0
3/13/2016 2:00:00 PM,99990001,4.79768756973032
3/13/2016 3:00:00 AM,99990001,118.86986369054075
