ActivityHour,Id,TotalIntensity
3/12/2016 10:00:00 AM,99990001,36.9815173678471
3/12/2016 10:00:00 PM,99990001,48.69052089227256
3/12/2016 11:00:00 AM,99990001,46.276673644718315
3/12/2016 11:00:00 PM,99990001,74.45793607175557
3/12/2016 12:00:00 AM,99990001,47.730709778291924
3/12/2016 12:00:00 PM,99990001,102.27120031869164
3/12/2016 1:00:00 AM,99990001,75.63935941075503
3/12/2016 1:00:00 PM,99990001,116.31228723961036
3/12/2016 2:00:00 AM,99990001,46.70660083897351
3/12/2016 2:00:00 PM,99990001,34.11746058509946
3/12/2016 3:00:00 AM,99990001,43.342623723710716
3/12/2016 3:00:00 PM,99990001,73.45368753045146
3/12/2016 4:00:00 AM,99990001,54.80199179971651
3/12/2016 4:00:00 PM,99990001,48.16851753278174
3/12/2016 5:00:00 AM,99990001,58.51665778304009
3/12/2016 5:00:00 PM,99990001,48.73751088630479
3/12/2016 6:00:00 AM,99990001,187.4500859929188
3/12/2016 6:00:00 PM,99990001,120.88089679494493
3/12/2016 7:00:00 AM,99990001,107.29406875707294
3/12/2016 7:00:00 PM,99990001,146.46961473664172
3/12/2016 8:00:00 AM,99990001,145.05201147126078
3/12/2016 8:00:00 PM,99990001,44.742481239292886
3/12/2016 9:00:00 AM,99990001,20.79967866639207
3/12/2016 9:00:00 PM,99990001,53.93598073659336
3/13/2016 10:00:00 AM,99990001,47.98646749558146
3/13/2016 10:00:00 PM,99990001,62.28779669194144
3/13/2016 11:00:00 AM,99990001,57.20948288946101
3/13/2016 11:00:00 PM,99990001,43.69077901492583
3/13/2016 12:00:00 AM,99990001,18.653697537261426
3/13/2016 12:00:00 PM,99990001,95.85030181586966
3/13/2016 1:00:00 AM,99990001,43.115629016328455
3/13/2016 1:00:00 PM,99990001,78.03541348386533
3/13/2016 2:00:00 AM,99990001,48.13166666253491
3/13/2016 2:00:00 PM,99990001,64.66058580400835
3/13/2016 3:00:00 AM,99990001,46.15683749412099
3/13/2016 3:00:00 PM,99990001,49.56638936805557
3/13/2016 4:00:00 AM,99990001,37.872708435023746
3/13/2016 4:00:00 PM,99990001,32.64302137985205
3/13/2016 5:00:00 AM,99990001,58.70014676273049
3/13/2016 5:00:00 PM,99990001,51.5274979325646
3/13/2016 6:00:00 AM,99990001,119.50785264100188
3/13/2016 6:00:00 PM,99990001,154.60829953683412
3/13/2016 7:00:00 AM,99990001,153.9951325949747
3/13/2016 7:00:00 PM,99990001,160.92751355024274
3/13/2016 8:00:00 AM,99990001,114.418405377992
3/13/2016 8:00:00 PM,99990001,51.261028891709124
3/13/2016 9:00:00 AM,99990001,48.29191353642703
3/13/2016 9:00:00 PM,99990001,31.51152087530033
3/14/2016 10:00:00 AM,99990001,52.28957776186464
3/14/2016 10:00:00 PM,99990001,59.72626268173274
3/14/2016 11:00:00 AM,99990001,46.64792707934919
3/14/2016 11:00:00 PM,99990001,59.78036288416731
3/14/2016 12:00:00 AM,99990001,47.76620114177134
3/14/2016 12:00:00 PM,99990001,125.78745894062097
3/14/2016 1:00:00 AM,99990001,53.78388715683241
3/14/2016 1:00:00 PM,99990001,77.44508623106495
3/14/2016 2:00:00 AM,99990001,44.07992023842456
3/14/2016 2:00:00 PM,99990001,55.01937963443628
3/14/2016 3:00:00 AM,99990001,40.04816462128938
3/14/2016 3:00:00 PM,99990001,45.12227592588714
3/14/2016 4:00:00 AM,99990001,32.117361417020874
3/14/2016 4:00:00 PM,99990001,34.662535892144795
3/14/2016 5:00:00 AM,99990001,34.07574216695553
3/14/2016 5:00:00 PM,99990001,30.43893606945005
3/14/2016 6:00:00 AM,99990001,84.55260113528861
3/14/2016 6:00:00 PM,99990001,35.485971592595305
3/14/2016 7:00:00 AM,99990001,161.86210402188323
3/14/2016 7:00:00 PM,99990001,65.97974000926757
3/14/2016 8:00:00 AM,99990001,115.3374418021686
3/14/2016 8:00:00 PM,99990001,28.77588941916862
3/14/2016 9:00:00 AM,99990001,31.54631053753326
3/14/2016 9:00:00 PM,99990001,53.01831851259928
3/15/2016 10:00:00 AM,99990001,22.884696980114185
3/15/2016 10:00:00 PM,99990001,38.26797811767122
3/15/2016 11:00:00 AM,99990001,30.75749313651448
3/15/2016 11:00:00 PM,99990001,52.73110975958426
3/15/2016 12:00:00 AM,99990001,43.25674446793602
3/15/2016 12:00:00 PM,99990001,117.3259365964977
3/15/2016 1:00:00 AM,99990001,49.182757595788964
3/15/2016 1:00:00 PM,99990001,96.2955884302568
3/15/2016 2:00:00 AM,99990001,47.396069593911164
3/15/2016 2:00:00 PM,99990001,61.106930663707566
3/15/2016 3:00:00 AM,99990001,36.0083570926245
3/15/2016 3:00:00 PM,99990001,47.90643853362293
3/15/2016 4:00:00 AM,99990001,56.31673897440237
3/15/2016 4:00:00 PM,99990001,46.401589409957644
3/15/2016 5:00:00 AM,99990001,45.10809589437059
3/15/2016 5:00:00 PM,99990001,41.93171513464703
3/15/2016 6:00:00 AM,99990001,121.04616499055271
3/15/2016 6:00:00 PM,99990001,116.33046868215249
3/15/2016 7:00:00 AM,99990001,84.55958016220949
